"BehaviorSpace results (NetLogo 6.2.0)"
"sir-dist-dos.nlogo"
"variar DS dos"
"11/15/2025 09:04:40:424 -0600"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","199","0","199"
"[run number]","POB","DS","PC","TE","WIG","S0","[step]","Emax","t-estrella"
"126","90","12","0.09","30","15","99","192","4273","51"
"124","90","12","0.09","30","15","99","249","4032","49"
"123","90","12","0.09","30","15","99","252","4199","48"
"127","90","12","0.09","30","15","99","225","3714","51"
"129","90","12","0.09","30","15","99","213","3846","52"
"125","90","12","0.09","30","15","99","333","3573","49"
"128","90","12","0.09","30","15","99","306","3809","49"
"130","90","12","0.09","30","15","99","198","3800","48"
"132","90","13","0.09","30","15","99","190","4177","49"
"133","90","13","0.09","30","15","99","200","3986","52"
"134","90","13","0.09","30","15","99","215","3853","52"
"137","90","13","0.09","30","15","99","206","4143","53"
"135","90","13","0.09","30","15","99","182","3957","51"
"136","90","13","0.09","30","15","99","210","3993","53"
"131","90","13","0.09","30","15","99","235","3926","49"
"138","90","13","0.09","30","15","99","231","3794","49"
"139","90","13","0.09","30","15","99","194","3615","53"
"146","90","14","0.09","30","15","99","177","3911","49"
"142","90","14","0.09","30","15","99","188","4001","52"
"141","90","14","0.09","30","15","99","199","3933","54"
"140","90","13","0.09","30","15","99","250","3947","49"
"144","90","14","0.09","30","15","99","240","3921","52"
"143","90","14","0.09","30","15","99","252","3496","55"
"148","90","14","0.09","30","15","99","197","3976","47"
"145","90","14","0.09","30","15","99","258","3772","51"
"149","90","14","0.09","30","15","99","188","4157","45"
"150","90","14","0.09","30","15","99","256","4024","52"
"151","90","15","0.09","30","15","99","224","3956","53"
"152","90","15","0.09","30","15","99","215","3951","49"
"147","90","14","0.09","30","15","99","269","4292","50"
"153","90","15","0.09","30","15","99","196","3919","51"
"155","90","15","0.09","30","15","99","191","3872","49"
"154","90","15","0.09","30","15","99","228","3896","54"
"160","90","15","0.09","30","15","99","175","3822","51"
"156","90","15","0.09","30","15","99","184","3915","50"
"159","90","15","0.09","30","15","99","202","3810","48"
"157","90","15","0.09","30","15","99","208","3795","50"
"162","90","16","0.09","30","15","99","175","4005","51"
"161","90","16","0.09","30","15","99","242","3771","52"
"158","90","15","0.09","30","15","99","264","4104","48"
"165","90","16","0.09","30","15","99","232","3844","51"
"168","90","16","0.09","30","15","99","188","3935","51"
"170","90","16","0.09","30","15","99","194","3972","53"
"163","90","16","0.09","30","15","99","296","3733","51"
"164","90","16","0.09","30","15","99","254","3645","50"
